id,name,type,lat,lon,city,district,pincode
2729431492,"Kims Research Foundation Hospital Blood Bank",undefined,16.5910889,82.0224669,"Amalapuram","East Godavari",533201
6749249168,"King George Hospital (KGH) Blood Bank",undefined,17.7086522,83.304622,"Visakhapatnam","VISAKHAPATNAM",530002
6749249173,"Government Victoria Hospital Blood Bank- Visakhapatnam",undefined,17.698827,83.2980643,"Visakhapatnam","VISAKHAPATNAM",530001
6749249178,"INHS Kalyani Blood Bank",undefined,17.6872253,83.2509603,"Gajuwaka","VISAKHAPATNAM",530005
6749298083,"Indian Red Cross Society Component Blood Bank",undefined,16.7119489,81.0947549,"Eluru","WEST GODAVARI",534006
6749317668,"Maharaja Institute of Medical Sciences Blood Bank",undefined,18.1461054,83.442408,"Vizianagaram","VIZIANAGARAM",535002
6749327559,"Palakol Voluntary Blood Bank",undefined,16.5138702,81.7268524,"Palakol","WEST GODAVARI",534260
6749328890,"Indian Red Cross Society Blood Bank - Kakinada",undefined,16.9700692,82.2276516,"Kakinada","EAST GODAVARI",533004
6749328895,"Katuri Medical College and Hospital Blood Bank",undefined,16.2278299,80.3102624,"Guntur Rural","GUNTUR",522019
6749328896,"Government General Hospital Blood Bank -Kurnool",undefined,15.8191145,78.0398208,,"KURNOOL",518002
6749328897,"Saint Joseph General Hospital Blood Bank",undefined,16.2977136,80.4409142,"Guntur city","GUNTUR",522001
6749328898,"Government Hospital Blood Bank - Tenali",undefined,16.2447749,80.6312518,"Tenali","GUNTUR",522201
6749328903,"Rudhira Voluntary Blood Bank",undefined,16.2434455,80.6463204,"Tenali","GUNTUR",522201
6749328904,"APVVP- Andhra Pradesh Vaidya Vidhana Parishad Area Hospital Blood Bank- Proddatur",undefined,14.7416855,78.551074,"PRODDATUR","YSR",516360
6749328916,"Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank",undefined,14.9060672,79.9914189,"Kavali","SPSR NELLORE",524201
6749328917,"PESIMSR Blood Bank.",undefined,12.7903944,78.3656046,"Kuppam","Chittoor",517425
6749328967,"Viswa Bharathi Blood Bank",undefined,15.81373,78.0375879,,"Kurnool",518002
6749328968,"Narayana Medical College & Hospital Blood Bank",undefined,14.4271648,80.0131213,"Nellore","SPSR NELLORE",524002
6749328969,"Narayana Medical College & Hospital Blood Bank",undefined,14.4250769,80.0136463,"Nellore","SPSR NELLORE",524002
6749333392,"Good Samaritan's Blood Bank",undefined,16.6964834,81.0948515,"Eluru","WEST GODAVARI",534001
6749333393,"Manipal Hospital Bloodbank",undefined,16.4844364,80.6169797,"Guntur Rural","GUNTUR",522501
6749333430,"NRI Medical College and General Hospital's Blood Bank",undefined,16.4148755,80.5573368,"Guntur Rural","GUNTUR",522503
6749333497,"Vijaya Sri Blood  Bank",undefined,16.5129072,80.6356533,"Vijayawada","KRISHNA",520002
6749333498,"Lions Blood Bank",undefined,16.5101286,80.6347735,"Vijayawada","KRISHNA",520002
6749333499,"Lions District 316D Blood Bank",undefined,16.5102906,80.632503,"Vijayawada","KRISHNA",520002
6749333500,"Bethesda Blood Bank",undefined,16.5129715,80.6326807,"Vijayawada","KRISHNA",520002
6749333501,"Suraksha Voluntary Blood Bank",undefined,16.5138915,80.6329047,"Vijayawada","KRISHNA",520002
6749333502,"Rotary Red Cross Blood Bank",undefined,16.5184013,80.6246361,"Vijayawada","KRISHNA",520003
6749339078,"South Central Railway Hospital Blood Bank",undefined,15.1729441,77.3661545,"Guntakal","ANANTAPUR",515801
6749361150,"District Headquarters Hospital Blood Bank- Vizianagaram",undefined,18.1108084,83.3865295,"Vizianagaram","VIZIANAGARAM",535003
6749669137,"Lions Club of Visakhapatnam Blod Bank Trust",undefined,17.7191065,83.3113036,,"VISAKHAPATNAM",530002
6749671111,"Santhiram Medical College & General Hospital Blood Bank",undefined,15.4923697,78.4174431,"Nandyal","KURNOOL",518501
6749678115,"N.T.R. Memorial Trust Blood Bank",undefined,17.7180805,83.3108216,,"VISAKHAPATNAM",530002
6749679930,"Seven Hills Hospital Blood Bank",undefined,17.717249,83.3095448,,"VISAKHAPATNAM",530002
6749682934,"Apollo Hospital's Blood Bank",undefined,17.7170642,83.3092012,,"VISAKHAPATNAM",530002
6749692821,"A. S. Raja Voluntary Blood Bank",undefined,17.7203137,83.313049,,"VISAKHAPATNAM",530002
6749704999,"Indian Red Cross Society Blood Bank - Visakhapatnam",undefined,17.7101869,83.3092518,,"VISAKHAPATNAM",530002
6749722057,"Anil Neerukonda Hospital Blood Bank",undefined,17.9217164,83.4266648,"Sangivalasa","VISAKHAPATNAM",531162
6749753583,"NTR Area Hospital Blood Bank",undefined,17.6842872,83.007229,"Anakapalli","VISAKHAPATNAM",531001
6749755988,"District Hospital's Blood Bank",undefined,17.6845983,83.0067408,"Anakapalli","VISAKHAPATNAM",531001
6749788880,"Visakha Steel General Hospital Blood Bank",undefined,17.6626188,83.1448531,"Gajuwaka","VISAKHAPATNAM",530032
6749816484,"Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust)",undefined,17.7116713,83.3033341,,"VISAKHAPATNAM",530002
6749952899,"S.S.S.I.H.M.S. Blood Bank",undefined,14.1516869,77.7770823,"Puttaparthy","ANANTAPUR",515134
6749956560,"A.P. Vaidya vidhana parishad Area Hospital - IRCS Blood Bank",undefined,14.4256107,78.2315934,"Pulivendula","YSR",516390
6749964130,"Indian Red Cross Society Blood bank - RCH -II KADIRI",undefined,14.1130746,78.1575537,"Kadiri","ANANTAPUR",515591
